book title,author,genre
If Animals Kissed Good Night,Ann Whitford Paul,Picture
Things We Never Got Over (Knockemout),Lucy Score,"Romance,"
Five Silly Turkeys,Salina Yoon,Picture
Paint by Sticker Kids: Christmas: Create 10 Pictures One Sticker at a Time! Includes Glitter Stickers,Workman Publishing,Childrens
Love Comes First,Emily Giffin,"Fiction,"
The Ballad of Songbirds and Snakes (A Hunger Games Novel) (The Hunger Games),Suzanne Collins,"Adventure,"
"A Court of Wings and Ruin (A Court of Thorns and Roses, 3)",Sarah J. Maas,Fantasy
The Shadow Work Journal 2nd Edition: a Guide to Integrate and Transcend Your Shadows: The Essential Guidebook for Shadow Work,Keila Shaheen,Self
"Harry Potter and the Prisoner of Azkaban (Harry Potter, Book 3) (MinaLima Edition)",J.K. Rowling,Fantasy
"Moo, Baa, La La La!",Sandra Boynton,Childrens
The Coworker,Freida McFadden,"Thriller,"
Rich Dad Poor Dad: What the Rich Teach Their Kids About Money That the Poor and Middle Class Do Not!,Robert Kiyosaki,Personal
Percy Jackson and the Olympians: The Chalice of the Gods (Percy Jackson & the Olympians),Rick Riordan,"Fantasy,"
Paw Patrol Phonics: 12 Books in 1,Jennifer Liberts,Childrens
First Little Readers Parent Pack: Guided Reading Level A: 25 Irresistible Books That Are Just the Right Level for Beginning R,Deborah Schecter,Nonfiction
Hatchet,Gary Paulsen,young
"The Wager: A Tale of Shipwreck, Mutiny and Murder",David Grann,Nonfiction
"I'm Dead, Now What?: Important Information About My Belongings, Business Affairs, and Wishes",Peter Pauper Press,Nonfiction
The Wonky Donkey,Craig Smith,"Childrens,"
